order_id,customer_id,order_date,product_id,category,region,supplier_id,quantity,unit_price,discount,refund,status,net_revenue
ORD-10001,CUST-2824,2026-06-01 16:00:00,PROD-189,HomeGoods,North,Supplier B,1,1127.92,76.33,0.0,completed,1051.59
ORD-10002,CUST-4811,2026-06-01 08:00:00,PROD-877,Apparel,North,Supplier D,3,2521.44,612.28,0.0,completed,6952.04
ORD-10003,CUST-3547,2026-06-01 17:00:00,PROD-370,HomeGoods,West,Supplier A,3,2209.67,561.8,0.0,completed,6067.21
ORD-10004,CUST-7201,2026-06-01 20:00:00,PROD-396,HomeGoods,North,Supplier C,1,3670.57,242.72,0.0,completed,3427.85
ORD-10005,CUST-7227,2026-06-01 19:00:00,PROD-799,Industrial,South,Supplier C,2,2165.81,290.29,0.0,completed,4041.33
ORD-10006,CUST-5010,2026-06-01 20:00:00,PROD-894,Industrial,West,Supplier D,2,4952.86,678.16,0.0,completed,9227.56
ORD-10007,CUST-2084,2026-06-01 10:00:00,PROD-352,HomeGoods,West,Supplier B,4,2280.34,130.32,0.0,completed,8991.04
ORD-10008,CUST-8019,2026-06-01 09:00:00,PROD-256,HomeGoods,East,Supplier B,1,2792.87,211.08,0.0,completed,2581.79
ORD-10009,CUST-2040,2026-06-01 09:00:00,PROD-798,Industrial,East,Supplier D,1,4869.85,331.29,0.0,completed,4538.56
ORD-10010,CUST-6573,2026-06-01 20:00:00,PROD-282,HomeGoods,North,Supplier D,3,2541.76,741.09,0.0,completed,6884.19
ORD-10011,CUST-9317,2026-06-01 15:00:00,PROD-119,Apparel,West,Supplier C,1,2927.21,175.32,0.0,completed,2751.89
ORD-10012,CUST-6038,2026-06-01 20:00:00,PROD-645,Electronics,West,Supplier B,4,885.44,289.02,0.0,completed,3252.74
ORD-10013,CUST-3705,2026-06-01 18:00:00,PROD-482,Industrial,South,Supplier B,4,3708.27,1476.11,0.0,completed,13356.97
ORD-10014,CUST-4681,2026-06-01 18:00:00,PROD-160,HomeGoods,North,Supplier A,1,3147.98,22.35,0.0,completed,3125.63
ORD-10015,CUST-2160,2026-06-01 15:00:00,PROD-926,HomeGoods,West,Supplier D,4,2926.55,284.46,0.0,completed,11421.74
ORD-10016,CUST-6804,2026-06-01 19:00:00,PROD-447,Industrial,East,Supplier D,1,3530.14,21.4,0.0,completed,3508.74
ORD-10017,CUST-9786,2026-06-01 09:00:00,PROD-553,Apparel,East,Supplier D,2,1753.45,306.67,0.0,completed,3200.23
ORD-10018,CUST-9856,2026-06-01 14:00:00,PROD-160,Electronics,North,Supplier B,4,2328.86,199.12,0.0,completed,9116.32
ORD-10019,CUST-8454,2026-06-01 17:00:00,PROD-853,Industrial,South,Supplier D,2,1354.54,262.43,0.0,completed,2446.65
ORD-10020,CUST-8811,2026-06-01 11:00:00,PROD-513,Electronics,West,Supplier A,1,808.35,54.58,0.0,completed,753.77
ORD-10021,CUST-1651,2026-06-01 14:00:00,PROD-234,Industrial,North,Supplier C,3,1419.17,101.62,0.0,completed,4155.89
ORD-10022,CUST-2188,2026-06-01 13:00:00,PROD-170,Industrial,North,Supplier A,3,2919.35,116.01,0.0,completed,8642.04
ORD-10023,CUST-9900,2026-06-01 09:00:00,PROD-860,Electronics,South,Supplier C,2,4725.19,249.93,0.0,completed,9200.45
ORD-10024,CUST-6617,2026-06-01 14:00:00,PROD-949,HomeGoods,West,Supplier D,1,4574.01,42.22,0.0,completed,4531.79
ORD-10025,CUST-5291,2026-06-01 13:00:00,PROD-696,Industrial,West,Supplier D,2,1003.43,109.49,0.0,completed,1897.37
ORD-10026,CUST-6974,2026-06-01 14:00:00,PROD-735,HomeGoods,North,Supplier B,3,3501.2,819.4,0.0,completed,9684.2
ORD-10027,CUST-3662,2026-06-01 14:00:00,PROD-921,Industrial,West,Supplier A,3,3814.54,895.33,0.0,completed,10548.29
ORD-10028,CUST-3608,2026-06-01 20:00:00,PROD-992,Industrial,North,Supplier A,4,1500.95,209.93,0.0,completed,5793.87
ORD-10029,CUST-6378,2026-06-01 16:00:00,PROD-439,Electronics,South,Supplier C,4,3386.67,920.52,0.0,completed,12626.16
ORD-10030,CUST-3925,2026-06-01 16:00:00,PROD-218,Electronics,South,Supplier A,3,2055.59,269.11,0.0,completed,5897.66
ORD-10031,CUST-8144,2026-06-01 18:00:00,PROD-968,Apparel,North,Supplier C,3,814.88,152.34,0.0,completed,2292.3
ORD-10032,CUST-7691,2026-06-01 10:00:00,PROD-730,Industrial,South,Supplier C,4,1363.28,369.35,0.0,completed,5083.77
ORD-10033,CUST-5978,2026-06-01 16:00:00,PROD-584,Apparel,South,Supplier D,4,2592.45,700.61,0.0,completed,9669.19
ORD-10034,CUST-2389,2026-06-01 10:00:00,PROD-125,HomeGoods,South,Supplier A,2,3527.58,569.04,0.0,completed,6486.12
ORD-10035,CUST-8461,2026-06-01 08:00:00,PROD-868,Apparel,East,Supplier D,2,2298.44,301.58,0.0,completed,4295.3
ORD-10036,CUST-4585,2026-06-01 20:00:00,PROD-575,Industrial,West,Supplier A,1,4628.62,211.28,0.0,completed,4417.34
ORD-10037,CUST-8251,2026-06-01 12:00:00,PROD-884,Industrial,East,Supplier B,2,2525.31,424.18,0.0,completed,4626.44
ORD-10038,CUST-8206,2026-06-01 11:00:00,PROD-492,HomeGoods,North,Supplier B,1,2011.31,27.83,0.0,completed,1983.48
ORD-10039,CUST-7678,2026-06-01 20:00:00,PROD-698,Industrial,South,Supplier D,4,1430.75,222.9,0.0,completed,5500.1
ORD-10040,CUST-7232,2026-06-01 19:00:00,PROD-659,Electronics,East,Supplier C,4,3890.64,837.61,0.0,completed,14724.95
ORD-10041,CUST-5471,2026-06-01 15:00:00,PROD-230,Industrial,East,Supplier A,4,2012.58,582.99,0.0,completed,7467.33
ORD-10042,CUST-1444,2026-06-01 11:00:00,PROD-565,Industrial,North,Supplier B,3,1317.78,149.87,0.0,completed,3803.47
ORD-10043,CUST-7906,2026-06-01 13:00:00,PROD-329,Electronics,South,Supplier D,1,3870.61,387.03,0.0,completed,3483.58
ORD-10044,CUST-1508,2026-06-01 17:00:00,PROD-323,Apparel,West,Supplier A,4,1573.45,421.34,0.0,completed,5872.46
ORD-10045,CUST-2876,2026-06-01 19:00:00,PROD-303,HomeGoods,West,Supplier A,4,4679.99,742.54,0.0,completed,17977.42
ORD-10046,CUST-2983,2026-06-01 14:00:00,PROD-942,HomeGoods,North,Supplier D,3,810.31,3.08,0.0,completed,2427.85
ORD-10047,CUST-8532,2026-06-01 19:00:00,PROD-706,Industrial,West,Supplier B,4,3271.61,608.35,0.0,completed,12478.09
