shipment_id,order_id,supplier_id,warehouse,promised_date,delivery_date,fill_rate,delay_days,status
SHIP-50001,ORD-10001,Supplier B,WH-Pacific,2026-06-03,2026-06-03,92.2,0,delivered
SHIP-50002,ORD-10002,Supplier D,WH-Pacific,2026-06-03,2026-06-03,97.2,0,delivered
SHIP-50003,ORD-10003,Supplier A,WH-Midwest,2026-06-03,2026-06-03,97.5,0,delivered
SHIP-50004,ORD-10004,Supplier C,WH-Pacific,2026-06-03,2026-06-03,98.4,0,delivered
SHIP-50005,ORD-10005,Supplier C,WH-Pacific,2026-06-03,2026-06-03,96.6,0,delivered
SHIP-50006,ORD-10006,Supplier D,WH-Southern,2026-06-03,2026-06-04,98.0,1,delayed
SHIP-50007,ORD-10007,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,96.0,0,delivered
SHIP-50008,ORD-10008,Supplier B,WH-Pacific,2026-06-03,2026-06-03,97.9,0,delivered
SHIP-50009,ORD-10009,Supplier D,WH-Southern,2026-06-03,2026-06-03,97.6,0,delivered
SHIP-50010,ORD-10010,Supplier D,WH-Pacific,2026-06-03,2026-06-03,92.8,0,delivered
SHIP-50011,ORD-10011,Supplier C,WH-Pacific,2026-06-03,2026-06-03,94.7,0,delivered
SHIP-50012,ORD-10012,Supplier B,WH-Midwest,2026-06-03,2026-06-03,93.0,0,delivered
SHIP-50013,ORD-10013,Supplier B,WH-Pacific,2026-06-03,2026-06-03,95.9,0,delivered
SHIP-50014,ORD-10014,Supplier A,WH-Pacific,2026-06-03,2026-06-03,98.8,0,delivered
SHIP-50015,ORD-10015,Supplier D,WH-Pacific,2026-06-03,2026-06-03,92.7,0,delivered
SHIP-50016,ORD-10016,Supplier D,WH-Midwest,2026-06-03,2026-06-03,92.8,0,delivered
SHIP-50017,ORD-10017,Supplier D,WH-Pacific,2026-06-03,2026-06-03,98.4,0,delivered
SHIP-50018,ORD-10018,Supplier B,WH-Pacific,2026-06-03,2026-06-03,92.0,0,delivered
SHIP-50019,ORD-10019,Supplier D,WH-Pacific,2026-06-03,2026-06-03,97.6,0,delivered
SHIP-50020,ORD-10020,Supplier A,WH-Pacific,2026-06-03,2026-06-03,98.7,0,delivered
SHIP-50021,ORD-10021,Supplier C,WH-Southern,2026-06-03,2026-06-03,94.2,0,delivered
SHIP-50022,ORD-10022,Supplier A,WH-Midwest,2026-06-03,2026-06-03,94.8,0,delivered
SHIP-50023,ORD-10023,Supplier C,WH-Midwest,2026-06-03,2026-06-03,94.0,0,delivered
SHIP-50024,ORD-10024,Supplier D,WH-Southern,2026-06-03,2026-06-03,92.0,0,delivered
SHIP-50025,ORD-10025,Supplier D,WH-Midwest,2026-06-03,2026-06-03,95.2,0,delivered
SHIP-50026,ORD-10026,Supplier B,WH-Pacific,2026-06-03,2026-06-03,98.9,0,delivered
SHIP-50027,ORD-10027,Supplier A,WH-Pacific,2026-06-03,2026-06-03,97.5,0,delivered
SHIP-50028,ORD-10028,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,92.2,0,delivered
SHIP-50029,ORD-10029,Supplier C,WH-Southern,2026-06-03,2026-06-03,92.9,0,delivered
SHIP-50030,ORD-10030,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,96.3,0,delivered
SHIP-50031,ORD-10031,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,98.8,0,delivered
SHIP-50032,ORD-10032,Supplier C,WH-Pacific,2026-06-03,2026-06-03,95.0,0,delivered
SHIP-50033,ORD-10033,Supplier D,WH-Southern,2026-06-03,2026-06-03,99.2,0,delivered
SHIP-50034,ORD-10034,Supplier A,WH-Pacific,2026-06-03,2026-06-05,96.6,2,delayed
SHIP-50035,ORD-10035,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,98.6,0,delivered
SHIP-50036,ORD-10036,Supplier A,WH-Pacific,2026-06-03,2026-06-03,99.4,0,delivered
SHIP-50037,ORD-10037,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,95.6,0,delivered
SHIP-50038,ORD-10038,Supplier B,WH-Southern,2026-06-03,2026-06-03,97.3,0,delivered
SHIP-50039,ORD-10039,Supplier D,WH-Midwest,2026-06-03,2026-06-03,92.1,0,delivered
SHIP-50040,ORD-10040,Supplier C,WH-Southern,2026-06-03,2026-06-03,98.7,0,delivered
SHIP-50041,ORD-10041,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,96.0,0,delivered
SHIP-50042,ORD-10042,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,97.7,0,delivered
SHIP-50043,ORD-10043,Supplier D,WH-Midwest,2026-06-03,2026-06-03,97.9,0,delivered
SHIP-50044,ORD-10044,Supplier A,WH-Pacific,2026-06-03,2026-06-03,93.9,0,delivered
SHIP-50045,ORD-10045,Supplier A,WH-Midwest,2026-06-03,2026-06-04,92.8,1,delayed
SHIP-50046,ORD-10046,Supplier D,WH-Southern,2026-06-03,2026-06-03,95.3,0,delivered
SHIP-50047,ORD-10047,Supplier B,WH-Southern,2026-06-03,2026-06-03,98.4,0,delivered
SHIP-50048,ORD-10048,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,95.7,0,delivered
SHIP-50049,ORD-10049,Supplier C,WH-Midwest,2026-06-03,2026-06-03,97.7,0,delivered
SHIP-50050,ORD-10050,Supplier A,WH-Southern,2026-06-03,2026-06-03,96.0,0,delivered
SHIP-50051,ORD-10051,Supplier C,WH-Southern,2026-06-03,2026-06-03,99.1,0,delivered
SHIP-50052,ORD-10052,Supplier C,WH-Southern,2026-06-03,2026-06-03,97.3,0,delivered
SHIP-50053,ORD-10053,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,93.4,0,delivered
SHIP-50054,ORD-10054,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,92.6,0,delivered
SHIP-50055,ORD-10055,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,97.6,0,delivered
SHIP-50056,ORD-10056,Supplier A,WH-Pacific,2026-06-03,2026-06-03,95.5,0,delivered
SHIP-50057,ORD-10057,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,92.4,0,delivered
SHIP-50058,ORD-10058,Supplier D,WH-Southern,2026-06-03,2026-06-04,98.7,1,delayed
SHIP-50059,ORD-10059,Supplier B,WH-Midwest,2026-06-03,2026-06-03,95.9,0,delivered
SHIP-50060,ORD-10060,Supplier D,WH-Midwest,2026-06-03,2026-06-03,94.5,0,delivered
SHIP-50061,ORD-10061,Supplier D,WH-Midwest,2026-06-03,2026-06-03,98.2,0,delivered
SHIP-50062,ORD-10062,Supplier D,WH-Midwest,2026-06-03,2026-06-03,92.2,0,delivered
SHIP-50063,ORD-10063,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,95.7,0,delivered
SHIP-50064,ORD-10064,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,93.0,0,delivered
SHIP-50065,ORD-10065,Supplier A,WH-Southern,2026-06-03,2026-06-03,94.5,0,delivered
SHIP-50066,ORD-10066,Supplier B,WH-Pacific,2026-06-03,2026-06-03,95.5,0,delivered
SHIP-50067,ORD-10067,Supplier D,WH-Midwest,2026-06-03,2026-06-03,95.4,0,delivered
SHIP-50068,ORD-10068,Supplier D,WH-Southern,2026-06-03,2026-06-03,96.0,0,delivered
SHIP-50069,ORD-10069,Supplier B,WH-Southern,2026-06-03,2026-06-03,98.5,0,delivered
SHIP-50070,ORD-10070,Supplier C,WH-Midwest,2026-06-03,2026-06-03,97.1,0,delivered
SHIP-50071,ORD-10071,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,97.0,0,delivered
